Trait	Total Observed scale h2	h2_se	Lambda GC	Mean Chi^2	Intercept	int_se	Ratio	Z_h2
FINNGEN_R6_ALCONEURODEGEN.results	0.0004	0.0019	0.9986	1.0025	1.0002	0.0073	 0.0926 (2.95)	0.210526316
FINNGEN_R6_D3_IMMUDEFANTIBODYNAS.results	0.0004	0.0019	1.0135	1.0044	1.0023	0.0079	 0.523 (1.7967)	0.210526316
FINNGEN_R6_DM_VITREOUS_BLEEDING.results	0.0004	0.0019	1.0135	1.0137	1.0119	0.007	 0.8699 (0.5121)	0.210526316
FINNGEN_R6_E4_ADRENAL.results	0.0004	0.0019	0.9986	1.0023	1.0003	0.0067	 0.1147 (2.9423)	0.210526316
FINNGEN_R6_G6_HORNER.results	0.0004	0.0019	1.0105	1.0049	1.0028	0.0076	 0.5784 (1.559)	0.210526316
FINNGEN_R6_H7_SEVVISIMPMONOC.results	0.0004	0.0019	0.9898	0.9896	0.9874	0.0082	 NA (mean chi^2 < 1)	0.210526316
FINNGEN_R6_K11_DISORD_TEETH.results	0.0004	0.0019	1.0285	1.0201	1.0183	0.0066	 0.9103 (0.3302)	0.210526316
FINNGEN_R6_M13_HYPERMOBILITY.results	0.0004	0.0019	1.0046	1.012	1.01	0.007	 0.8318 (0.5837)	0.210526316
FINNGEN_R6_N14_RENALCOLNAS.results	0.0004	0.0019	0.9957	0.9855	0.9831	0.008	 NA (mean chi^2 < 1)	0.210526316
FINNGEN_R6_ST19_INJURY_MUSCLE_TENDON_HIP_THIGH_LEVEL.results	0.0004	0.0019	1.0135	1.0105	1.0087	0.0074	 0.823 (0.7032)	0.210526316
GCST90006899.results	0.0113	0.0541	0.9957	0.9948	0.993	0.0064	 NA (mean chi^2 < 1)	0.208872458
FINNGEN_R6_CD2_INSITU_MELANOMA_TRUNK_EXALLC.results	0.0005	0.0024	1.0105	1.0115	1.0093	0.0083	 0.812 (0.7214)	0.208333333
FINNGEN_R6_M13_SACROCOGG.results	0.0005	0.0024	0.9986	1.0002	0.9983	0.0071		0.208333333
GCST90026067.results	0.3569	1.7234	1.0195	1.0322	1.0302	0.0076	 0.9359 (0.2369)	0.207090635
GCST90010168.results	0.0618	0.3005	0.9986	0.9972	0.9956	0.0073	 NA (mean chi^2 < 1)	0.205657238
GCST90011499.results	0.0103	0.0501	1.0046	1.0068	1.0048	0.0064	 0.7177 (0.9538)	0.205588822
GCST90011489.results	0.0104	0.0506	1.0195	1.0177	1.0158	0.0073	 0.8946 (0.4132)	0.205533597
GCST90011640.results	0.012	0.0587	1.0016	1.0087	1.0065	0.0076	 0.7407 (0.864)	0.204429302
GCST90010161.results	0.0699	0.3439	1.0075	1.0041	1.0023	0.0071	 0.553 (1.7406)	0.203256761
FINNGEN_R6_AB1_RUBELLA.results	0.0004	0.002	1.0046	1.0018	0.9997	0.0073		0.2
FINNGEN_R6_R18_ABNORMAL_SERUM_ENZYME_LEVELS.results	0.0004	0.002	1.0135	1.0194	1.0174	0.0078	 0.9005 (0.4035)	0.2
FINNGEN_R6_ST19_FROSTBITE.results	0.0004	0.002	0.9898	0.9933	0.9911	0.0086	 NA (mean chi^2 < 1)	0.2
SAIGE_070.results	0.0002	0.001	1.0046	1.0035	1.0017	0.0061	 0.4862 (1.7114)	0.2
SAIGE_081.results	0.0002	0.001	0.9692	0.9759	0.9744	0.0056	 NA (mean chi^2 < 1)	0.2
SAIGE_368_2.results	0.0002	0.001	0.9898	0.998	0.996	0.006	 NA (mean chi^2 < 1)	0.2
SAIGE_721_8.results	0.0002	0.001	0.9957	0.995	0.9933	0.0065	 NA (mean chi^2 < 1)	0.2
GCST90010299.results	0.0697	0.3511	1.0016	0.9997	0.9979	0.0071	 NA (mean chi^2 < 1)	0.19851894
GCST90026015.results	0.3105	1.5669	1.0285	1.0305	1.0287	0.0066	 0.939 (0.2167)	0.198161976
GCST90011658.results	0.0095	0.0481	1.0105	1.0083	1.0065	0.0061	 0.7857 (0.7371)	0.197505198
GCST90026062.results	0.3233	1.6578	1.0016	1.0325	1.0306	0.0071	 0.9416 (0.2183)	0.195017493
GCST90010126.results	0.0714	0.3664	0.9986	1.0004	0.9986	0.0086		0.194868996
GCST90026171.results	0.3301	1.7076	1.0135	1.0191	1.0171	0.0062	 0.8978 (0.324)	0.193312251
NEALE2_2956.results	0.0155	0.0802	1.0105	1.0061	1.0043	0.0065	 0.7151 (1.0704)	0.193266833
GCST90013553.results	0.124	0.6502	1.0135	1.0058	1.0037	0.0098	 0.6508 (1.6951)	0.190710551
FINNGEN_R6_CD2_BENIGN_MELANOCYTIC_LIP_EXALLC.results	0.0004	0.0021	1.0105	1.0051	1.0033	0.007	 0.646 (1.3747)	0.19047619
FINNGEN_R6_KRA_PSY_AUTISM_EXMORE.results	0.0004	0.0021	0.9809	0.981	0.9793	0.0069	 NA (mean chi^2 < 1)	0.19047619
FINNGEN_R6_L12_FACTITIALDERMAT.results	0.0004	0.0021	1.0105	1.0003	0.998	0.0076		0.19047619
FINNGEN_R6_L12_SKINSUBCUTISNAS.results	0.0004	0.0021	1.0046	1.0121	1.01	0.0075	 0.8205 (0.6141)	0.19047619
FINNGEN_R6_GE_STRICT.results	0.0003	0.0016	1.0195	1.0165	1.0149	0.0076	 0.9067 (0.4633)	0.1875
GCST006344.results	0.2965	1.6098	0.9986	0.9996	0.9974	0.0078	 NA (mean chi^2 < 1)	0.184184371
FINNGEN_R6_ST19_CONTU_ANKLE.results	0.0004	0.0022	0.9898	1.0016	0.9994	0.0076		0.181818182
NEALE2_20002_1222.results	0.0002	0.0011	1.0075	1.0096	1.0082	0.0061	 0.8602 (0.6386)	0.181818182
NEALE2_20002_1597.results	0.0002	0.0011	1.0135	1.0098	1.0087	0.0054	 0.8847 (0.5507)	0.181818182
NEALE2_20003_1140879404.results	0.0002	0.0011	0.9986	0.9982	0.9967	0.0061	 NA (mean chi^2 < 1)	0.181818182
NEALE2_20003_1140884308.results	0.0002	0.0011	0.9986	1.0025	1.0007	0.0057	 0.2762 (2.3271)	0.181818182
NEALE2_20003_1189.results	0.0002	0.0011	1.0046	1.0049	1.0032	0.0058	 0.6616 (1.1833)	0.181818182
SAIGE_1004.results	0.0002	0.0011	0.9957	0.996	0.9946	0.0067	 NA (mean chi^2 < 1)	0.181818182
SAIGE_170_1.results	0.0002	0.0011	1.0105	1.0017	1.0001	0.0068	 0.0641 (3.9545)	0.181818182
SAIGE_276_11.results	0.0002	0.0011	0.9986	0.9997	0.9984	0.0064	 NA (mean chi^2 < 1)	0.181818182
SAIGE_276_6.results	0.0002	0.0011	1.0046	1.0019	1.0004	0.0063	 0.2158 (3.2462)	0.181818182
SAIGE_362_7.results	0.0002	0.0011	1.0195	1.0047	1.0029	0.007	 0.626 (1.4969)	0.181818182
SAIGE_368_3.results	0.0002	0.0011	0.9898	0.9913	0.9896	0.0062	 NA (mean chi^2 < 1)	0.181818182
SAIGE_380_4.results	0.0002	0.0011	0.9957	0.9894	0.9875	0.0061	 NA (mean chi^2 < 1)	0.181818182
SAIGE_427_6.results	0.0002	0.0011	0.9957	0.9983	0.9968	0.0056	 NA (mean chi^2 < 1)	0.181818182
SAIGE_458_2.results	0.0002	0.0011	1.0046	1.0014	1	0.0059		0.181818182
SAIGE_537.results	0.0002	0.0011	1.0105	1.0092	1.0079	0.0058	 0.8584 (0.6315)	0.181818182
SAIGE_564_8.results	0.0002	0.0011	0.978	0.9849	0.9838	0.0055	 NA (mean chi^2 < 1)	0.181818182
SAIGE_575_2.results	0.0002	0.0011	1.0046	1.0003	0.9987	0.0056		0.181818182
SAIGE_695_1.results	0.0002	0.0011	1.0046	0.9983	0.9967	0.0067	 NA (mean chi^2 < 1)	0.181818182
SAIGE_972_6.results	0.0002	0.0011	1.0105	0.9985	0.9966	0.0065	 NA (mean chi^2 < 1)	0.181818182
FINNGEN_R6_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.results	0.0003	0.0017	1.0135	1.0156	1.0142	0.0065	 0.9103 (0.4183)	0.176470588
FINNGEN_R6_M13_BONEDENSOTH.results	0.0003	0.0017	0.9957	0.9945	0.9928	0.0068	 NA (mean chi^2 < 1)	0.176470588
FINNGEN_R6_R18_OTHER_ABNORMALITI_PLASMA_PROTEINS.results	0.0003	0.0017	0.9986	0.9986	0.997	0.007	 NA (mean chi^2 < 1)	0.176470588
FINNGEN_R6_ST19_INJURI_INVOLVI_MULTIPLE_BODY_REGIONS.results	0.0003	0.0017	1.0046	1.0036	1.0018	0.007	 0.5116 (1.9457)	0.176470588
FINNGEN_R6_VWXY20_COMPLICATIO_MEDICAL_SURGI_CARE.results	0.0003	0.0017	1.0046	0.9963	0.9946	0.0067	 NA (mean chi^2 < 1)	0.176470588
GCST90026021.results	0.2625	1.4917	1.0165	1.0257	1.0242	0.0064	 0.9407 (0.2505)	0.175973721
GCST90011495.results	0.0099	0.0565	1.0195	1.0162	1.0143	0.0069	 0.8877 (0.4291)	0.175221239
FINNGEN_R6_O15_MEMBR_PREMAT_RUPT.results	0.0007	0.004	1.0225	1.0175	1.0157	0.0075	 0.8963 (0.4278)	0.175
FINNGEN_R6_C3_BONE_CARTILAGE_LIMBS_EXALLC.results	0.0004	0.0023	1.0105	0.999	0.9975	0.0077	 NA (mean chi^2 < 1)	0.173913043
GCST90011694.results	0.009	0.0518	1.0016	1.0023	1.0006	0.0069	 0.2708 (3.0426)	0.173745174
GCST90011536.results	0.0081	0.0469	1.0016	1.0034	1.002	0.0073	 0.5734 (2.1327)	0.172707889
GCST90011612.results	0.0082	0.0477	1.0075	1.002	1.0005	0.0066	 0.2548 (3.256)	0.171907757
NEALE2_41218_1.results	0.0379	0.221	1.0016	0.9998	0.9984	0.0064	 NA (mean chi^2 < 1)	0.171493213
NEALE2_20112_1.results	0.0291	0.1711	0.9927	0.9995	0.998	0.0067	 NA (mean chi^2 < 1)	0.170075979
GCST90010116.results	0.0579	0.3427	1.0016	1.0015	1	0.0075	 0.0247 (4.9028)	0.168952437
FINNGEN_R6_M13_FORESTIER.results	0.0004	0.0024	1.0105	1.0022	1.0007	0.0072	 0.3191 (3.3653)	0.166666667
NEALE2_20002_1416.results	0.0002	0.0012	0.9986	1.0033	1.0015	0.0057	 0.4572 (1.742)	0.166666667
NEALE2_20003_1140861138.results	0.0002	0.0012	1.0105	1.0097	1.0084	0.0061	 0.8648 (0.6246)	0.166666667
NEALE2_20003_1140865000.results	0.0002	0.0012	1.0016	1.0002	0.9986	0.0067		0.166666667
NEALE2_20003_1140870422.results	0.0002	0.0012	1.0135	1.0111	1.0095	0.0058	 0.8534 (0.5202)	0.166666667
NEALE2_20003_1140874370.results	0.0002	0.0012	1.0105	1.0077	1.0062	0.0069	 0.8068 (0.8995)	0.166666667
NEALE2_20003_1140888758.results	0.0002	0.0012	1.0016	1.0014	1	0.007	 0.017 (5.1807)	0.166666667
NEALE2_20003_1140909766.results	0.0002	0.0012	1.0016	1.0013	0.9999	0.006		0.166666667
NEALE2_20003_1141171038.results	0.0002	0.0012	1.0046	0.9969	0.9953	0.0067	 NA (mean chi^2 < 1)	0.166666667
NEALE2_20003_1141176288.results	0.0002	0.0012	1.0046	1.0054	1.0036	0.0065	 0.6668 (1.2038)	0.166666667
SAIGE_225_2.results	0.0002	0.0012	1.0105	1.0021	1.0005	0.0077	 0.219 (3.6673)	0.166666667
SAIGE_286_7.results	0.0002	0.0012	1.0046	1.0071	1.0056	0.0063	 0.7792 (0.8819)	0.166666667
SAIGE_300_12.results	0.0002	0.0012	1.0135	1.0109	1.0097	0.0059	 0.8877 (0.5369)	0.166666667
SAIGE_500_1.results	0.0002	0.0012	0.9957	0.9895	0.9878	0.0074	 NA (mean chi^2 < 1)	0.166666667
SAIGE_592_2.results	0.0002	0.0012	0.9986	1.0029	1.0012	0.0068	 0.4343 (2.3667)	0.166666667
SAIGE_599_1.results	0.0002	0.0012	1.0135	1.0004	0.999	0.0063		0.166666667
SAIGE_800_2.results	0.0002	0.0012	0.9986	1.001	0.9993	0.0067		0.166666667
FINNGEN_R6_H7_RETINANAS.results	0.0003	0.0018	1.0046	0.999	0.9973	0.0073	 NA (mean chi^2 < 1)	0.166666667
FINNGEN_R6_Z21_PROBL_RELATED_MEDICAL_FACILITI_OTH_HEALTH_CARE.results	0.0003	0.0018	1.0105	1.0119	1.0106	0.0069	 0.8907 (0.5834)	0.166666667
NEALE2_4849_12.results	0.0006	0.0036	0.9957	0.9985	0.9971	0.0063	 NA (mean chi^2 < 1)	0.166666667
GCST90026003.results	0.2685	1.6131	1.0285	1.0297	1.0281	0.0068	 0.9469 (0.2287)	0.166449693
GCST90010129.results	0.0635	0.384	0.9986	1.0011	0.9994	0.0085		0.165364583
GCST90010229.results	0.0882	0.5346	0.9898	1.0027	1.0004	0.0099	 0.1487 (3.6558)	0.164983165
GCST90026070.results	0.2884	1.8069	1.0255	1.0238	1.0221	0.0066	 0.9292 (0.2772)	0.159610382
FINNGEN_R6_AB1_ASPERGILLOSIS.results	0.0003	0.0019	1.0046	0.9984	0.9966	0.0075	 NA (mean chi^2 < 1)	0.157894737
FINNGEN_R6_AB1_VIRAL_SKIN_NOS.results	0.0003	0.0019	1.0105	1.0017	1.0004	0.0069	 0.2265 (4.1828)	0.157894737
FINNGEN_R6_C3_SECONDARY_RESPIRATORY_DIGESTIVE.results	0.0003	0.0019	0.9986	0.994	0.9923	0.0074	 NA (mean chi^2 < 1)	0.157894737
FINNGEN_R6_G6_DISBROTHUNS.results	0.0003	0.0019	0.9898	0.9885	0.9869	0.0075	 NA (mean chi^2 < 1)	0.157894737
FINNGEN_R6_G6_MUSCOTHUNS.results	0.0003	0.0019	0.9868	0.9866	0.9851	0.0077	 NA (mean chi^2 < 1)	0.157894737
FINNGEN_R6_L12_IMPETIGO.results	0.0003	0.0019	0.9957	1.0005	0.9989	0.0062		0.157894737
FINNGEN_R6_L12_LUPUS.results	0.0003	0.0019	1.0195	1.0089	1.0075	0.0074	 0.8388 (0.8302)	0.157894737
FINNGEN_R6_MIGRAINE_UNSPE.results	0.0003	0.0019	1.0105	1.0002	0.9989	0.0076		0.157894737
FINNGEN_R6_R18_ABNORMAL_FINDI_EXAMI_URINE_WO_DIAGNOSIS.results	0.0003	0.0019	1.0046	1.0041	1.0023	0.0072	 0.552 (1.7581)	0.157894737
FINNGEN_R6_ST19_INJURI_NECK.results	0.0003	0.0019	1.0195	1.0216	1.0199	0.0074	 0.9196 (0.3423)	0.157894737
FINNGEN_R6_ST19_OTHER_UNSPE_INJURI_SHOUL_UPPER_ARM.results	0.0003	0.0019	0.9986	0.9967	0.9955	0.0076	 NA (mean chi^2 < 1)	0.157894737
FINNGEN_R6_ST19_SUPERF_INJURY_SHOUL_UPPER_ARM.results	0.0003	0.0019	1.0135	1.0102	1.0089	0.0072	 0.8739 (0.7034)	0.157894737
FINNGEN_R6_Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_SPECIFIC_PROCED_NOT_CARRIED.results	0.0003	0.0019	1.0105	1.0079	1.0068	0.0067	 0.8552 (0.847)	0.157894737
GCST90011322.results	0.0076	0.0482	1.0075	1.0108	1.0094	0.0065	 0.8706 (0.599)	0.157676349
FINNGEN_R6_N14_MALEGENINOTH.results	0.0008	0.0051	1.0046	0.997	0.9955	0.0073	 NA (mean chi^2 < 1)	0.156862745
GCST90026231.results	0.2482	1.5904	1.0225	1.0221	1.0206	0.0071	 0.9327 (0.3241)	0.156061368
FINNGEN_R6_O15_LABOUR_OTHER.results	0.0007	0.0045	0.9986	1.0128	1.0112	0.0073	 0.8756 (0.5667)	0.155555556
GCST90006906.results	0.0092	0.0594	1.0046	1.0015	1.0002	0.0057	 0.1168 (3.8903)	0.154882155
GCST90011373.results	0.0083	0.0536	1.0016	1.0027	1.0012	0.0073	 0.4481 (2.6701)	0.154850746
NEALE2_20003_1140867726.results	0.0002	0.0013	0.9898	0.9947	0.9932	0.0065	 NA (mean chi^2 < 1)	0.153846154
NEALE2_20003_1140879424.results	0.0002	0.0013	0.9957	0.9989	0.9977	0.007	 NA (mean chi^2 < 1)	0.153846154
NEALE2_20003_1140888092.results	0.0002	0.0013	1.0046	1.0066	1.0051	0.0062	 0.7751 (0.935)	0.153846154
NEALE2_20003_1141151016.results	0.0002	0.0013	1.0075	1.0007	0.9992	0.0067		0.153846154
NEALE2_24015.results	0.0002	0.0013	1.0105	1.0124	1.0107	0.0063	 0.8662 (0.5045)	0.153846154
SAIGE_556.results	0.0002	0.0013	1.0135	1.0036	1.0023	0.0063	 0.6319 (1.7523)	0.153846154
GCST90093346.results	0.0749	0.4869	1.0255	1.0289	1.0274	0.0076	 0.9476 (0.2614)	0.153830355
GCST90026189.results	0.2649	1.7527	1.0405	1.0407	1.0391	0.0072	 0.9619 (0.1773)	0.151138244
GCST90011600.results	0.0081	0.0536	1.0135	1.0131	1.0116	0.0068	 0.8861 (0.519)	0.151119403
FINNGEN_R6_G6_ALCODEGEN.results	0.0003	0.002	0.9986	1.002	1.0003	0.0073	 0.1649 (3.6017)	0.15
FINNGEN_R6_H7_CORNEALDEFORM.results	0.0003	0.002	0.9957	1.0048	1.0035	0.0072	 0.7213 (1.4909)	0.15
FINNGEN_R6_M13_ENTESOPATHYNAS.results	0.0003	0.002	0.9986	0.9996	0.9983	0.0067	 NA (mean chi^2 < 1)	0.15
FINNGEN_R6_ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_ELBOW.results	0.0003	0.002	1.0105	1.0113	1.0097	0.0068	 0.8586 (0.5975)	0.15
FINNGEN_R6_Z21_PREGNAC_EXAM_TEST.results	0.0007	0.0047	1.0375	1.0373	1.0357	0.0067	 0.9552 (0.1804)	0.14893617
NEALE2_20089_464.results	0.0012	0.0081	1.0075	1.0061	1.0049	0.0057	 0.7968 (0.9272)	0.148148148
GCST90011506.results	0.0079	0.0538	1.0075	1.0151	1.0137	0.0061	 0.9055 (0.4053)	0.146840149
GCST90026129.results	0.221	1.5329	1.0315	1.0304	1.0291	0.0065	 0.9572 (0.2136)	0.144171179
NEALE2_20003_1140862060.results	0.0002	0.0014	0.9986	0.9988	0.997	0.0071	 NA (mean chi^2 < 1)	0.142857143
NEALE2_20003_1140916980.results	0.0002	0.0014	0.9986	1.0013	0.9996	0.0075		0.142857143
FINNGEN_R6_F5_PERSOTH.results	0.0003	0.0021	0.9986	0.9963	0.9945	0.0086	 NA (mean chi^2 < 1)	0.142857143
FINNGEN_R6_RX_RHEUMA_BIOLOGICAL.results	0.0003	0.0021	1.0195	1.0244	1.0229	0.0077	 0.94 (0.3167)	0.142857143
GCST90011423.results	0.0075	0.0525	1.0046	0.998	0.9966	0.0065	 NA (mean chi^2 < 1)	0.142857143
GCST90011704.results	0.0079	0.0555	1.0016	1.006	1.0045	0.0067	 0.7548 (1.1174)	0.142342342
GCST90060134.results	0.0065	0.046	0.9986	0.9933	0.992	0.0089	 NA (mean chi^2 < 1)	0.141304348
GCST90010344.results	0.062	0.4436	0.9957	0.9979	0.9962	0.0084	 NA (mean chi^2 < 1)	0.139765555
GCST90000489.results	0.0647	0.4706	1.0046	0.9966	0.9953	0.0067	 NA (mean chi^2 < 1)	0.137484063
GCST90010240.results	0.0498	0.3638	0.9986	1.0008	0.9994	0.0082		0.1368884
GCST90011418.results	0.0073	0.0544	1.0016	1.0013	1	0.0068		0.134191176
GCST90013541.results	0.0888	0.663	0.9986	1.0144	1.013	0.01	 0.9003 (0.6953)	0.133936652
NEALE2_20003_1141171152.results	0.0002	0.0015	1.0016	1.0003	0.9991	0.0068		0.133333333
FINNGEN_R6_CD2_BENIGN_CHOROID_EXALLC.results	0.0003	0.0023	0.9957	1.0014	1	0.0073		0.130434783
FINNGEN_R6_CD2_BENIGN_DESCENDING_COLON_EXALLC.results	0.0003	0.0023	1.0135	1.0101	1.0089	0.0078	 0.8856 (0.7747)	0.130434783
FINNGEN_R6_M13_SYNOHYPERTROPH.results	0.0003	0.0023	1.0046	1.0036	1.0022	0.0072	 0.6068 (2.0222)	0.130434783
FINNGEN_R6_VWXY20_SUPPLE_FACTO_RELATED_CAUSES_MORBIDI_MORTA_CLASSIFIED_ELSEW.results	0.0003	0.0023	0.9957	1.0022	1.0006	0.0083	 0.2806 (3.8125)	0.130434783
FINNGEN_R6_O15_DELIV_OTHER_ASSIST.results	0.0008	0.0062	1.0105	1.0017	1.0006	0.007	 0.3565 (4.0794)	0.129032258
FINNGEN_R6_G6_ALS.results	0.0005	0.0039	1.0285	1.0165	1.0153	0.0074	 0.9242 (0.4457)	0.128205128
GCST90011420.results	0.0062	0.0485	1.0016	1.002	1.0009	0.0064	 0.4389 (3.1419)	0.127835052
NEALE2_4609_raw.results	0.0011	0.0087	1.0075	1.0025	1.0014	0.0067	 0.5481 (2.7041)	0.126436782
GCST90038707.results	9.71E-05	0.0008	0.9986	0.998	0.9971	0.0057	 NA (mean chi^2 < 1)	0.121435
NEALE2_41220_2.results	0.0313	0.2592	0.9986	0.9941	0.9932	0.0062	 NA (mean chi^2 < 1)	0.120756173
GCST90010333.results	0.0424	0.3563	0.9986	0.9945	0.9934	0.0077	 NA (mean chi^2 < 1)	0.119000842
GCST90026176.results	0.1831	1.5453	1.0165	1.0271	1.0261	0.0068	 0.9609 (0.2505)	0.118488319
FINNGEN_R6_L12_DERMATHERP.results	0.0002	0.0017	0.9316	0.9329	0.9319	0.0063	 NA (mean chi^2 < 1)	0.117647059
FINNGEN_R6_L12_NONIONRADISKINNAS.results	0.0002	0.0017	0.9986	0.9984	0.9974	0.007	 NA (mean chi^2 < 1)	0.117647059
FINNGEN_R6_N14_GLOMEINOTH.results	0.0002	0.0017	1.0225	1.0199	1.0189	0.0068	 0.9502 (0.3408)	0.117647059
FINNGEN_R6_Q17_CONGEN_MALFO_RESPI_SYSTEM.results	0.0002	0.0017	1.0105	0.9997	0.9985	0.0075	 NA (mean chi^2 < 1)	0.117647059
GCST90000485.results	0.0485	0.4169	0.9986	0.9953	0.9944	0.0066	 NA (mean chi^2 < 1)	0.116334852
GCST90011551.results	0.0053	0.0456	0.9986	1.0017	1.0008	0.0064	 0.4423 (3.7113)	0.11622807
FINNGEN_R6_R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN.results	0.0003	0.0026	1.0105	1.0111	1.0099	0.0074	 0.8917 (0.6705)	0.115384615
GCST90060337.results	0.006	0.0521	0.9986	1.0164	1.0152	0.0082	 0.9252 (0.5011)	0.115163148
GCST90011561.results	0.0058	0.0505	1.0075	1.0046	1.0035	0.0065	 0.7694 (1.433)	0.114851485
FINNGEN_R6_AB1_HERPES_SIMPLEX.results	0.0002	0.0018	1.0105	1.0049	1.0037	0.0073	 0.7458 (1.4916)	0.111111111
FINNGEN_R6_AB1_VIRAL_CNS.results	0.0002	0.0018	0.9986	1.0073	1.0064	0.0069	 0.8815 (0.9416)	0.111111111
FINNGEN_R6_G6_MONOOTHUNS.results	0.0002	0.0018	1.0105	1.0037	1.0026	0.0076	 0.6955 (2.0451)	0.111111111
FINNGEN_R6_G6_MYASTHENIA.results	0.0002	0.0018	1.0046	1.0005	0.9997	0.0073		0.111111111
FINNGEN_R6_H7_OTHIRISCILIARY.results	0.0002	0.0018	1.0046	1.0004	0.9993	0.0068		0.111111111
FINNGEN_R6_SCND_OTH_COXARTHROSIS.results	0.0002	0.0018	0.9986	0.9977	0.9966	0.0071	 NA (mean chi^2 < 1)	0.111111111
FINNGEN_R6_ST19_BURNS_CORROSIO_CONFIN_EYE_INTERNAL_ORGANS.results	0.0002	0.0018	0.9986	0.9983	0.9971	0.0075	 NA (mean chi^2 < 1)	0.111111111
FINNGEN_R6_ST19_BURNS_CORROSIO_MULTIPLE_BODY_REGIONS.results	0.0002	0.0018	1.0046	0.993	0.9918	0.0071	 NA (mean chi^2 < 1)	0.111111111
FINNGEN_R6_ST19_OTHER_UNSPE_INJURI_FOREA.results	0.0002	0.0018	0.9957	0.9916	0.9906	0.0078	 NA (mean chi^2 < 1)	0.111111111
FINNGEN_R6_ST19_TOXIC_EFFEC_SUBST_CHIEF_NONME_SOURCE.results	0.0002	0.0018	1.0105	1.0094	1.0083	0.007	 0.8867 (0.7476)	0.111111111
FINNGEN_R6_Z21_PROBL_RELATED_OTH_PSYCHOSO_CIRCUMSTANC.results	0.0002	0.0018	0.9986	1.0004	0.9995	0.0076		0.111111111
FINNGEN_R6_G6_NARCOCATA.results	0.0003	0.0027	1.0135	1.0057	1.0045	0.0085	 0.7785 (1.4776)	0.111111111
FINNGEN_R6_N14_HABITABORT.results	0.0006	0.0054	0.9986	0.9987	0.9978	0.0072	 NA (mean chi^2 < 1)	0.111111111
GCST90093343.results	0.6182	5.6167	1.071	1.1007	1.0996	0.0088	 0.989 (0.0877)	0.110064629
GCST90010113.results	0.0381	0.3487	0.9986	0.9982	0.9972	0.0077	 NA (mean chi^2 < 1)	0.109262977
GCST90011517.results	0.006	0.0553	1.0285	1.0251	1.024	0.0071	 0.9559 (0.2823)	0.108499096
GCST005223.results	0.0113	0.1045	1.0165	1.0128	1.0118	0.0079	 0.9193 (0.6146)	0.108133971
NEALE2_4849_11.results	0.0004	0.0037	1.0046	1.0037	1.0028	0.0064	 0.7447 (1.7139)	0.108108108
GCST90020165.results	0.0399	0.3718	1.0016	1.0089	1.0079	0.007	 0.8825 (0.7848)	0.107315761
FINNGEN_R6_N14_OLIGOMEN.results	0.0006	0.0056	0.9986	1.0011	1.0001	0.0073	 0.0478 (6.5282)	0.107142857
FINNGEN_R6_CD2_BENIGN_CHOROID.results	0.0002	0.0019	0.9898	1.0007	0.9998	0.0072		0.105263158
FINNGEN_R6_D3_NEFELOF.results	0.0002	0.0019	0.9986	0.9914	0.9903	0.0081	 NA (mean chi^2 < 1)	0.105263158
FINNGEN_R6_H7_IRIDOCYCLITISINOTH.results	0.0002	0.0019	1.0046	0.995	0.9942	0.007	 NA (mean chi^2 < 1)	0.105263158
FINNGEN_R6_SCND_OTH_KNEEARTHROSIS.results	0.0002	0.0019	1.0135	1.0105	1.0096	0.0066	 0.9224 (0.634)	0.105263158
FINNGEN_R6_ST19_CRUSHI_INJURY_WRIST_HAND.results	0.0002	0.0019	1.0046	0.9989	0.9982	0.0075	 NA (mean chi^2 < 1)	0.105263158
NEALE2_40001_C900.results	0.0056	0.0532	1.0046	1.0026	1.0016	0.0071	 0.5949 (2.6985)	0.105263158
GCST90026065.results	0.1645	1.5746	1.0255	1.0282	1.0272	0.0066	 0.9655 (0.2339)	0.104470977
GCST90011629.results	0.0052	0.0502	1.0105	1.0038	1.0029	0.0065	 0.7549 (1.6948)	0.103585657
FINNGEN_R6_PD_DEMENTIA_EXMORE.results	0.0004	0.0039	1.0135	1.0107	1.0097	0.0072	 0.9086 (0.6792)	0.102564103
NEALE2_41220_7.results	0.023	0.2249	1.0016	0.9979	0.997	0.0059	 NA (mean chi^2 < 1)	0.102267675
NEALE2_22167.results	0.0039	0.0386	1.0105	1.0127	1.0118	0.0064	 0.9294 (0.5019)	0.101036269
FINNGEN_R6_E4_HYPOPARA.results	0.0002	0.002	1.0105	1.018	1.0168	0.0076	 0.9373 (0.4258)	0.1
FINNGEN_R6_ST19_INJURY_NERVES_WRIST_HAND_LEVEL.results	0.0002	0.002	1.0105	1.0104	1.0092	0.0072	 0.8921 (0.6953)	0.1
NEALE2_20003_1140865588.results	0.0001	0.001	1.0135	1.0049	1.0041	0.0058	 0.8318 (1.1904)	0.1
SAIGE_070_9.results	0.0001	0.001	0.9986	0.9942	0.9931	0.0065	 NA (mean chi^2 < 1)	0.1
SAIGE_170.results	0.0001	0.001	0.9898	0.9914	0.9902	0.0056	 NA (mean chi^2 < 1)	0.1
